Location_id,District Number,Borough,School Number
11049,31,Staten Island,009
11050,31,Staten Island,010
11051,31,Staten Island,011
11052,31,Staten Island,013
11053,31,Staten Island,016
11054,31,Staten Island,018
11055,31,Staten Island,019
11056,31,Staten Island,020
11057,31,Staten Island,021
11058,31,Staten Island,022
11059,31,Staten Island,023
11060,31,Staten Island,024
11061,31,Staten Island,026
11062,31,Staten Island,027
11063,31,Staten Island,028
11064,31,Staten Island,029
11065,31,Staten Island,030
11066,31,Staten Island,031
11067,31,Staten Island,032
11068,31,Staten Island,034
11069,31,Staten Island,035
11070,31,Staten Island,036
11071,31,Staten Island,038
11072,31,Staten Island,039
11073,31,Staten Island,041
11074,31,Staten Island,042
11075,31,Staten Island,044
11076,31,Staten Island,045
11077,31,Staten Island,046
11078,31,Staten Island,048
11079,31,Staten Island,049
11080,31,Staten Island,050
11081,31,Staten Island,051
11082,31,Staten Island,052
11083,31,Staten Island,053
11084,31,Staten Island,054
11085,31,Staten Island,055
11086,31,Staten Island,056
11087,31,Staten Island,057
11088,31,Staten Island,058
11089,31,Staten Island,059
11090,31,Staten Island,060
11091,31,Staten Island,061
11092,31,Staten Island,062
11093,31,Staten Island,063
11094,31,Staten Island,065
11095,31,Staten Island,068
11096,31,Staten Island,069
11097,31,Staten Island,072
11098,31,Staten Island,074
11099,31,Staten Island,075
11100,31,Staten Island,078
11101,31,Staten Island,080
11102,31,Staten Island,861
11103,32,Brooklyn,045
11104,32,Brooklyn,075
11105,32,Brooklyn,086
11106,32,Brooklyn,106
11107,32,Brooklyn,116
11108,32,Brooklyn,123
11109,32,Brooklyn,145
11110,32,Brooklyn,151
11111,32,Brooklyn,162
11112,32,Brooklyn,274
11113,32,Brooklyn,291
11114,32,Brooklyn,299
11115,32,Brooklyn,347
11116,32,Brooklyn,349
11117,32,Brooklyn,377
11118,32,Brooklyn,383
11119,32,Brooklyn,384
11120,32,Brooklyn,554
11121,32,Brooklyn,562
